source,target,weight
Basketball,Equestrianism,19
Basketball,Short Track Speed Skating,1
Basketball,Judo,13
Basketball,Canoeing,19
Basketball,Golf,1
Basketball,Archery,12
Basketball,Football,19
Basketball,Sailing,19
Basketball,Cycling,19
Basketball,Biathlon,9
Basketball,Weightlifting,19
Basketball,Wrestling,19
Basketball,Boxing,19
Basketball,Handball,13
Basketball,Volleyball,14
Basketball,Bobsleigh,12
Basketball,Art Competitions,2
Basketball,Alpine Skiing,13
Basketball,Cross Country Skiing,13
Basketball,Tennis,8
Basketball,Skeleton,1
Basketball,Baseball,5
Basketball,Ice Hockey,13
Basketball,Athletics,19
Basketball,Swimming,19
Basketball,Hockey,19
Basketball,Luge,8
Basketball,Beach Volleyball,6
Basketball,Taekwondo,5
Basketball,Rhythmic Gymnastics,9
Basketball,Water Polo,19
Basketball,Trampolining,5
Basketball,Softball,4
Basketball,Figure Skating,13
Basketball,Table Tennis,8
Basketball,Shooting,19
Basketball,Nordic Combined,13
Basketball,Rugby Sevens,1
Basketball,Modern Pentathlon,19
Basketball,Polo,1
Basketball,Alpinism,1
Basketball,Triathlon,5
Basketball,Freestyle Skiing,1
Basketball,Rowing,19
Basketball,Aeronautics,1
Basketball,Ski Jumping,13
Basketball,Diving,19
Basketball,Gymnastics,19
Basketball,Badminton,7
Basketball,Fencing,19
Basketball,Synchronized Swimming,9
Basketball,Speed Skating,13
Judo,Equestrianism,13
Judo,Short Track Speed Skating,1
Judo,Golf,1
Judo,Canoeing,13
Judo,Archery,12
Judo,Football,13
Judo,Sailing,13
Judo,Cycling,13
Judo,Biathlon,7
Judo,Weightlifting,13
Judo,Wrestling,13
Judo,Boxing,13
Judo,Handball,12
Judo,Volleyball,13
Judo,Alpine Skiing,7
Judo,Bobsleigh,7
Judo,Tennis,8
Judo,Cross Country Skiing,7
Judo,Baseball,5
Judo,Ice Hockey,7
Judo,Athletics,13
Judo,Swimming,13
Judo,Taekwondo,5
Judo,Beach Volleyball,6
Judo,Hockey,13
Judo,Luge,7
Judo,Rhythmic Gymnastics,9
Judo,Water Polo,13
Judo,Trampolining,5
Judo,Softball,4
Judo,Table Tennis,8
Judo,Figure Skating,7
Judo,Shooting,13
Judo,Nordic Combined,7
Judo,Rugby Sevens,1
Judo,Modern Pentathlon,13
Judo,Triathlon,5
Judo,Freestyle Skiing,1
Judo,Rowing,13
Judo,Ski Jumping,7
Judo,Diving,13
Judo,Gymnastics,13
Judo,Badminton,7
Judo,Fencing,13
Judo,Synchronized Swimming,9
Judo,Speed Skating,7
Football,Jeu De Paume,1
Football,Equestrianism,24
Football,Short Track Speed Skating,1
Football,Roque,1
Football,Archery,16
Football,Sailing,25
Football,Biathlon,9
Football,Wrestling,26
Football,Handball,13
Football,Basque Pelota,1
Football,Volleyball,14
Football,Bobsleigh,14
Football,Art Competitions,6
Football,Motorboating,1
Football,Cross Country Skiing,15
Football,Baseball,5
Football,Croquet,1
Football,Racquets,1
Football,Ice Hockey,16
Football,Athletics,27
Football,Swimming,27
Football,Hockey,22
Football,Taekwondo,5
Football,Trampolining,5
Football,Figure Skating,17
Football,Table Tennis,8
Football,Shooting,25
Football,Rugby Sevens,1
Football,Modern Pentathlon,23
Football,Freestyle Skiing,1
Football,Aeronautics,1
Football,Tug-Of-War,6
Football,Gymnastics,27
Football,Badminton,7
Football,Fencing,27
Football,Speed Skating,15
Football,Golf,3
Football,Canoeing,19
Football,Cycling,27
Football,Weightlifting,24
Football,Boxing,24
Football,Alpine Skiing,13
Football,Military Ski Patrol,1
Football,Tennis,15
Football,Skeleton,2
Football,Lacrosse,2
Football,Beach Volleyball,6
Football,Luge,8
Football,Rhythmic Gymnastics,9
Football,Water Polo,26
Football,Softball,4
Football,Rugby,4
Football,Nordic Combined,15
Football,Polo,5
Football,Alpinism,2
Football,Triathlon,5
Football,Rowing,27
Football,Ski Jumping,15
Football,Diving,26
Football,Curling,1
Football,Cricket,1
Football,Synchronized Swimming,9
Tug-Of-War,Jeu De Paume,1
Tug-Of-War,Equestrianism,3
Tug-Of-War,Golf,2
Tug-Of-War,Roque,1
Tug-Of-War,Archery,4
Tug-Of-War,Sailing,4
Tug-Of-War,Cycling,6
Tug-Of-War,Weightlifting,3
Tug-Of-War,Wrestling,5
Tug-Of-War,Boxing,3
Tug-Of-War,Basque Pelota,1
Tug-Of-War,Motorboating,1
Tug-Of-War,Art Competitions,2
Tug-Of-War,Tennis,6
Tug-Of-War,Croquet,1
Tug-Of-War,Lacrosse,2
Tug-Of-War,Racquets,1
Tug-Of-War,Ice Hockey,1
Tug-Of-War,Athletics,6
Tug-Of-War,Swimming,6
Tug-Of-War,Hockey,2
Tug-Of-War,Water Polo,5
Tug-Of-War,Figure Skating,2
Tug-Of-War,Rugby,3
Tug-Of-War,Shooting,5
Tug-Of-War,Polo,3
Tug-Of-War,Modern Pentathlon,2
Tug-Of-War,Rowing,6
Tug-Of-War,Diving,5
Tug-Of-War,Cricket,1
Tug-Of-War,Gymnastics,6
Tug-Of-War,Fencing,6
Speed Skating,Equestrianism,16
Speed Skating,Short Track Speed Skating,7
Speed Skating,Canoeing,13
Speed Skating,Archery,6
Speed Skating,Sailing,16
Speed Skating,Cycling,16
Speed Skating,Biathlon,15
Speed Skating,Weightlifting,16
Speed Skating,Wrestling,16
Speed Skating,Boxing,16
Speed Skating,Handball,7
Speed Skating,Volleyball,8
Speed Skating,Bobsleigh,21
Speed Skating,Art Competitions,5
Speed Skating,Military Ski Patrol,1
Speed Skating,Alpine Skiing,19
Speed Skating,Tennis,3
Speed Skating,Cross Country Skiing,22
Speed Skating,Skeleton,6
Speed Skating,Baseball,1
Speed Skating,Ice Hockey,22
Speed Skating,Athletics,16
Speed Skating,Swimming,16
Speed Skating,Hockey,15
Speed Skating,Luge,14
Speed Skating,Rhythmic Gymnastics,3
Speed Skating,Water Polo,16
Speed Skating,Figure Skating,22
Speed Skating,Rugby,1
Speed Skating,Shooting,15
Speed Skating,Table Tennis,2
Speed Skating,Nordic Combined,22
Speed Skating,Modern Pentathlon,16
Speed Skating,Polo,2
Speed Skating,Alpinism,3
Speed Skating,Freestyle Skiing,7
Speed Skating,Rowing,16
Speed Skating,Aeronautics,1
Speed Skating,Ski Jumping,22
Speed Skating,Diving,16
Speed Skating,Curling,6
Speed Skating,Gymnastics,16
Speed Skating,Badminton,1
Speed Skating,Snowboarding,5
Speed Skating,Fencing,16
Speed Skating,Synchronized Swimming,3
Cross Country Skiing,Equestrianism,16
Cross Country Skiing,Short Track Speed Skating,7
Cross Country Skiing,Canoeing,13
Cross Country Skiing,Archery,6
Cross Country Skiing,Sailing,16
Cross Country Skiing,Cycling,16
Cross Country Skiing,Biathlon,15
Cross Country Skiing,Weightlifting,16
Cross Country Skiing,Wrestling,16
Cross Country Skiing,Boxing,16
Cross Country Skiing,Handball,7
Cross Country Skiing,Volleyball,8
Cross Country Skiing,Bobsleigh,21
Cross Country Skiing,Art Competitions,5
Cross Country Skiing,Military Ski Patrol,1
Cross Country Skiing,Alpine Skiing,19
Cross Country Skiing,Tennis,3
Cross Country Skiing,Skeleton,6
Cross Country Skiing,Baseball,1
Cross Country Skiing,Ice Hockey,22
Cross Country Skiing,Athletics,16
Cross Country Skiing,Swimming,16
Cross Country Skiing,Hockey,15
Cross Country Skiing,Luge,14
Cross Country Skiing,Rhythmic Gymnastics,3
Cross Country Skiing,Water Polo,16
Cross Country Skiing,Figure Skating,22
Cross Country Skiing,Rugby,1
Cross Country Skiing,Shooting,15
Cross Country Skiing,Table Tennis,2
Cross Country Skiing,Nordic Combined,22
Cross Country Skiing,Modern Pentathlon,16
Cross Country Skiing,Polo,2
Cross Country Skiing,Alpinism,3
Cross Country Skiing,Freestyle Skiing,7
Cross Country Skiing,Rowing,16
Cross Country Skiing,Aeronautics,1
Cross Country Skiing,Ski Jumping,22
Cross Country Skiing,Diving,16
Cross Country Skiing,Curling,6
Cross Country Skiing,Gymnastics,16
Cross Country Skiing,Badminton,1
Cross Country Skiing,Snowboarding,5
Cross Country Skiing,Fencing,16
Cross Country Skiing,Synchronized Swimming,3
Athletics,Jeu De Paume,1
Athletics,Equestrianism,25
Athletics,Short Track Speed Skating,1
Athletics,Roque,1
Athletics,Archery,16
Athletics,Sailing,26
Athletics,Biathlon,9
Athletics,Wrestling,28
Athletics,Handball,13
Athletics,Basque Pelota,1
Athletics,Volleyball,14
Athletics,Bobsleigh,15
Athletics,Art Competitions,7
Athletics,Motorboating,1
Athletics,Baseball,5
Athletics,Croquet,1
Athletics,Racquets,1
Athletics,Ice Hockey,17
Athletics,Swimming,29
Athletics,Hockey,23
Athletics,Taekwondo,5
Athletics,Trampolining,5
Athletics,Figure Skating,18
Athletics,Table Tennis,8
Athletics,Shooting,27
Athletics,Rugby Sevens,1
Athletics,Modern Pentathlon,24
Athletics,Freestyle Skiing,1
Athletics,Aeronautics,1
Athletics,Gymnastics,29
Athletics,Badminton,7
Athletics,Fencing,29
Athletics,Golf,3
Athletics,Canoeing,19
Athletics,Cycling,29
Athletics,Weightlifting,26
Athletics,Boxing,25
Athletics,Alpine Skiing,13
Athletics,Military Ski Patrol,1
Athletics,Tennis,16
Athletics,Skeleton,2
Athletics,Lacrosse,2
Athletics,Beach Volleyball,6
Athletics,Luge,8
Athletics,Rhythmic Gymnastics,9
Athletics,Water Polo,27
Athletics,Softball,4
Athletics,Rugby,4
Athletics,Nordic Combined,16
Athletics,Polo,5
Athletics,Alpinism,3
Athletics,Triathlon,5
Athletics,Rowing,28
Athletics,Ski Jumping,16
Athletics,Diving,27
Athletics,Curling,1
Athletics,Cricket,1
Athletics,Synchronized Swimming,9
Ice Hockey,Equestrianism,17
Ice Hockey,Short Track Speed Skating,7
Ice Hockey,Canoeing,13
Ice Hockey,Archery,7
Ice Hockey,Sailing,17
Ice Hockey,Cycling,17
Ice Hockey,Biathlon,15
Ice Hockey,Weightlifting,17
Ice Hockey,Wrestling,17
Ice Hockey,Boxing,17
Ice Hockey,Handball,7
Ice Hockey,Volleyball,8
Ice Hockey,Bobsleigh,21
Ice Hockey,Art Competitions,6
Ice Hockey,Military Ski Patrol,1
Ice Hockey,Alpine Skiing,19
Ice Hockey,Tennis,4
Ice Hockey,Skeleton,6
Ice Hockey,Baseball,1
Ice Hockey,Swimming,17
Ice Hockey,Hockey,16
Ice Hockey,Luge,14
Ice Hockey,Rhythmic Gymnastics,3
Ice Hockey,Water Polo,17
Ice Hockey,Figure Skating,23
Ice Hockey,Rugby,2
Ice Hockey,Shooting,16
Ice Hockey,Table Tennis,2
Ice Hockey,Nordic Combined,22
Ice Hockey,Polo,3
Ice Hockey,Modern Pentathlon,17
Ice Hockey,Alpinism,3
Ice Hockey,Freestyle Skiing,7
Ice Hockey,Rowing,17
Ice Hockey,Aeronautics,1
Ice Hockey,Ski Jumping,22
Ice Hockey,Diving,17
Ice Hockey,Curling,6
Ice Hockey,Gymnastics,17
Ice Hockey,Badminton,1
Ice Hockey,Snowboarding,5
Ice Hockey,Fencing,17
Ice Hockey,Synchronized Swimming,3
Swimming,Jeu De Paume,1
Swimming,Equestrianism,25
Swimming,Short Track Speed Skating,1
Swimming,Roque,1
Swimming,Archery,16
Swimming,Sailing,26
Swimming,Biathlon,9
Swimming,Wrestling,28
Swimming,Handball,13
Swimming,Basque Pelota,1
Swimming,Volleyball,14
Swimming,Bobsleigh,15
Swimming,Art Competitions,7
Swimming,Motorboating,1
Swimming,Baseball,5
Swimming,Croquet,1
Swimming,Racquets,1
Swimming,Hockey,23
Swimming,Taekwondo,5
Swimming,Trampolining,5
Swimming,Figure Skating,18
Swimming,Table Tennis,8
Swimming,Shooting,27
Swimming,Rugby Sevens,1
Swimming,Modern Pentathlon,24
Swimming,Freestyle Skiing,1
Swimming,Aeronautics,1
Swimming,Gymnastics,29
Swimming,Badminton,7
Swimming,Fencing,29
Swimming,Golf,3
Swimming,Canoeing,19
Swimming,Cycling,29
Swimming,Weightlifting,26
Swimming,Boxing,25
Swimming,Alpine Skiing,13
Swimming,Military Ski Patrol,1
Swimming,Tennis,16
Swimming,Skeleton,2
Swimming,Lacrosse,2
Swimming,Beach Volleyball,6
Swimming,Luge,8
Swimming,Rhythmic Gymnastics,9
Swimming,Water Polo,27
Swimming,Softball,4
Swimming,Rugby,4
Swimming,Nordic Combined,16
Swimming,Polo,5
Swimming,Alpinism,3
Swimming,Triathlon,5
Swimming,Rowing,28
Swimming,Ski Jumping,16
Swimming,Diving,27
Swimming,Curling,1
Swimming,Cricket,1
Swimming,Synchronized Swimming,9
Badminton,Equestrianism,7
Badminton,Short Track Speed Skating,1
Badminton,Golf,1
Badminton,Canoeing,7
Badminton,Archery,7
Badminton,Sailing,7
Badminton,Cycling,7
Badminton,Biathlon,1
Badminton,Weightlifting,7
Badminton,Wrestling,7
Badminton,Boxing,7
Badminton,Handball,7
Badminton,Volleyball,7
Badminton,Alpine Skiing,1
Badminton,Bobsleigh,1
Badminton,Tennis,7
Badminton,Baseball,5
Badminton,Taekwondo,5
Badminton,Beach Volleyball,6
Badminton,Hockey,7
Badminton,Luge,1
Badminton,Rhythmic Gymnastics,7
Badminton,Water Polo,7
Badminton,Trampolining,5
Badminton,Softball,4
Badminton,Table Tennis,7
Badminton,Figure Skating,1
Badminton,Shooting,7
Badminton,Nordic Combined,1
Badminton,Rugby Sevens,1
Badminton,Modern Pentathlon,7
Badminton,Triathlon,5
Badminton,Freestyle Skiing,1
Badminton,Rowing,7
Badminton,Ski Jumping,1
Badminton,Diving,7
Badminton,Gymnastics,7
Badminton,Fencing,7
Badminton,Synchronized Swimming,7
Sailing,Jeu De Paume,1
Sailing,Equestrianism,25
Sailing,Short Track Speed Skating,1
Sailing,Archery,15
Sailing,Biathlon,9
Sailing,Wrestling,25
Sailing,Handball,13
Sailing,Basque Pelota,1
Sailing,Volleyball,14
Sailing,Bobsleigh,15
Sailing,Art Competitions,7
Sailing,Motorboating,1
Sailing,Baseball,5
Sailing,Croquet,1
Sailing,Racquets,1
Sailing,Hockey,23
Sailing,Taekwondo,5
Sailing,Trampolining,5
Sailing,Figure Skating,18
Sailing,Table Tennis,8
Sailing,Shooting,25
Sailing,Rugby Sevens,1
Sailing,Modern Pentathlon,24
Sailing,Freestyle Skiing,1
Sailing,Aeronautics,1
Sailing,Gymnastics,26
Sailing,Fencing,26
Sailing,Golf,2
Sailing,Canoeing,19
Sailing,Cycling,26
Sailing,Weightlifting,23
Sailing,Boxing,24
Sailing,Alpine Skiing,13
Sailing,Military Ski Patrol,1
Sailing,Tennis,13
Sailing,Skeleton,2
Sailing,Lacrosse,1
Sailing,Beach Volleyball,6
Sailing,Luge,8
Sailing,Rhythmic Gymnastics,9
Sailing,Water Polo,26
Sailing,Softball,4
Sailing,Rugby,4
Sailing,Nordic Combined,16
Sailing,Polo,5
Sailing,Alpinism,3
Sailing,Triathlon,5
Sailing,Rowing,26
Sailing,Ski Jumping,16
Sailing,Diving,25
Sailing,Curling,1
Sailing,Cricket,1
Sailing,Synchronized Swimming,9
Biathlon,Equestrianism,9
Biathlon,Short Track Speed Skating,7
Biathlon,Canoeing,9
Biathlon,Archery,6
Biathlon,Cycling,9
Biathlon,Weightlifting,9
Biathlon,Wrestling,9
Biathlon,Boxing,9
Biathlon,Handball,6
Biathlon,Volleyball,8
Biathlon,Alpine Skiing,15
Biathlon,Bobsleigh,14
Biathlon,Tennis,2
Biathlon,Baseball,1
Biathlon,Skeleton,4
Biathlon,Hockey,9
Biathlon,Luge,14
Biathlon,Rhythmic Gymnastics,3
Biathlon,Water Polo,9
Biathlon,Figure Skating,15
Biathlon,Table Tennis,2
Biathlon,Shooting,9
Biathlon,Nordic Combined,15
Biathlon,Modern Pentathlon,9
Biathlon,Freestyle Skiing,7
Biathlon,Rowing,9
Biathlon,Ski Jumping,15
Biathlon,Diving,9
Biathlon,Curling,5
Biathlon,Gymnastics,9
Biathlon,Snowboarding,5
Biathlon,Fencing,9
Biathlon,Synchronized Swimming,3
Gymnastics,Jeu De Paume,1
Gymnastics,Equestrianism,25
Gymnastics,Short Track Speed Skating,1
Gymnastics,Roque,1
Gymnastics,Archery,16
Gymnastics,Wrestling,28
Gymnastics,Handball,13
Gymnastics,Basque Pelota,1
Gymnastics,Volleyball,14
Gymnastics,Bobsleigh,15
Gymnastics,Art Competitions,7
Gymnastics,Motorboating,1
Gymnastics,Baseball,5
Gymnastics,Croquet,1
Gymnastics,Racquets,1
Gymnastics,Hockey,23
Gymnastics,Taekwondo,5
Gymnastics,Trampolining,5
Gymnastics,Figure Skating,18
Gymnastics,Table Tennis,8
Gymnastics,Shooting,27
Gymnastics,Rugby Sevens,1
Gymnastics,Modern Pentathlon,24
Gymnastics,Freestyle Skiing,1
Gymnastics,Aeronautics,1
Gymnastics,Fencing,29
Gymnastics,Golf,3
Gymnastics,Canoeing,19
Gymnastics,Cycling,29
Gymnastics,Weightlifting,26
Gymnastics,Boxing,25
Gymnastics,Alpine Skiing,13
Gymnastics,Military Ski Patrol,1
Gymnastics,Tennis,16
Gymnastics,Skeleton,2
Gymnastics,Lacrosse,2
Gymnastics,Beach Volleyball,6
Gymnastics,Luge,8
Gymnastics,Rhythmic Gymnastics,9
Gymnastics,Water Polo,27
Gymnastics,Softball,4
Gymnastics,Rugby,4
Gymnastics,Nordic Combined,16
Gymnastics,Polo,5
Gymnastics,Alpinism,3
Gymnastics,Triathlon,5
Gymnastics,Rowing,28
Gymnastics,Ski Jumping,16
Gymnastics,Diving,27
Gymnastics,Curling,1
Gymnastics,Cricket,1
Gymnastics,Synchronized Swimming,9
Art Competitions,Equestrianism,7
Art Competitions,Canoeing,2
Art Competitions,Archery,1
Art Competitions,Cycling,7
Art Competitions,Weightlifting,6
Art Competitions,Wrestling,7
Art Competitions,Boxing,6
Art Competitions,Handball,1
Art Competitions,Bobsleigh,5
Art Competitions,Military Ski Patrol,1
Art Competitions,Alpine Skiing,2
Art Competitions,Tennis,3
Art Competitions,Skeleton,2
Art Competitions,Hockey,5
Art Competitions,Water Polo,7
Art Competitions,Figure Skating,6
Art Competitions,Rugby,2
Art Competitions,Shooting,6
Art Competitions,Nordic Combined,5
Art Competitions,Polo,3
Art Competitions,Modern Pentathlon,7
Art Competitions,Alpinism,3
Art Competitions,Rowing,7
Art Competitions,Aeronautics,1
Art Competitions,Ski Jumping,5
Art Competitions,Diving,7
Art Competitions,Curling,1
Art Competitions,Fencing,7
Alpine Skiing,Equestrianism,13
Alpine Skiing,Short Track Speed Skating,7
Alpine Skiing,Canoeing,13
Alpine Skiing,Archery,6
Alpine Skiing,Cycling,13
Alpine Skiing,Weightlifting,13
Alpine Skiing,Wrestling,13
Alpine Skiing,Boxing,13
Alpine Skiing,Handball,7
Alpine Skiing,Volleyball,8
Alpine Skiing,Bobsleigh,18
Alpine Skiing,Tennis,2
Alpine Skiing,Skeleton,5
Alpine Skiing,Baseball,1
Alpine Skiing,Hockey,13
Alpine Skiing,Luge,14
Alpine Skiing,Rhythmic Gymnastics,3
Alpine Skiing,Water Polo,13
Alpine Skiing,Figure Skating,19
Alpine Skiing,Table Tennis,2
Alpine Skiing,Shooting,13
Alpine Skiing,Nordic Combined,19
Alpine Skiing,Modern Pentathlon,13
Alpine Skiing,Polo,1
Alpine Skiing,Alpinism,1
Alpine Skiing,Freestyle Skiing,7
Alpine Skiing,Rowing,13
Alpine Skiing,Aeronautics,1
Alpine Skiing,Ski Jumping,19
Alpine Skiing,Diving,13
Alpine Skiing,Curling,5
Alpine Skiing,Snowboarding,5
Alpine Skiing,Fencing,13
Alpine Skiing,Synchronized Swimming,3
Handball,Equestrianism,13
Handball,Short Track Speed Skating,1
Handball,Golf,1
Handball,Canoeing,13
Handball,Archery,12
Handball,Cycling,13
Handball,Weightlifting,13
Handball,Wrestling,13
Handball,Boxing,13
Handball,Volleyball,12
Handball,Bobsleigh,7
Handball,Tennis,8
Handball,Baseball,5
Handball,Taekwondo,5
Handball,Beach Volleyball,6
Handball,Hockey,13
Handball,Luge,6
Handball,Rhythmic Gymnastics,9
Handball,Water Polo,13
Handball,Trampolining,5
Handball,Softball,4
Handball,Table Tennis,8
Handball,Figure Skating,7
Handball,Shooting,13
Handball,Nordic Combined,7
Handball,Rugby Sevens,1
Handball,Modern Pentathlon,13
Handball,Polo,1
Handball,Alpinism,1
Handball,Triathlon,5
Handball,Freestyle Skiing,1
Handball,Rowing,13
Handball,Aeronautics,1
Handball,Ski Jumping,7
Handball,Diving,13
Handball,Fencing,13
Handball,Synchronized Swimming,9
Weightlifting,Equestrianism,23
Weightlifting,Short Track Speed Skating,1
Weightlifting,Canoeing,19
Weightlifting,Golf,2
Weightlifting,Roque,1
Weightlifting,Archery,14
Weightlifting,Cycling,26
Weightlifting,Wrestling,26
Weightlifting,Boxing,24
Weightlifting,Volleyball,14
Weightlifting,Bobsleigh,15
Weightlifting,Military Ski Patrol,1
Weightlifting,Tennis,13
Weightlifting,Skeleton,2
Weightlifting,Baseball,5
Weightlifting,Lacrosse,1
Weightlifting,Hockey,22
Weightlifting,Luge,8
Weightlifting,Beach Volleyball,6
